Epoch,Train_Loss,Val_Loss,Gsmooth_Stds
1,2.1115767425960965,2.0581196943918862,"[1.0048543214797974, 0.3607299327850342, 0.304442822933197]"
2,1.91532387998369,1.92658531665802,"[0.9996612071990967, 0.36060434579849243, 0.3042951822280884]"
3,1.8814217514461942,1.9307581186294556,"[0.9601658582687378, 0.35617807507514954, 0.30079221725463867]"
4,1.8719914489322238,1.9083480437596638,"[1.0057263374328613, 0.36082136631011963, 0.3039613664150238]"
5,1.8626673618952434,1.9122095505396526,"[0.9949806928634644, 0.35988035798072815, 0.3029637038707733]"
6,1.86407290564643,1.9088906447092693,"[0.9923553466796875, 0.35911598801612854, 0.3019936680793762]"
7,1.8610797590679593,1.9050774574279785,"[1.0097038745880127, 0.36123883724212646, 0.30292922258377075]"
8,1.8617361121707492,1.9128927787144978,"[1.0051345825195312, 0.3604978919029236, 0.30190837383270264]"
9,1.8592918448978,1.9035786390304565,"[1.015180230140686, 0.3618048131465912, 0.3021821081638336]"
10,1.85938647058275,1.9084434509277344,"[0.9942187070846558, 0.3594030737876892, 0.29979678988456726]"
11,1.8583952983220418,1.9038046995798747,"[1.0005003213882446, 0.35965973138809204, 0.29900062084198]"
12,1.8574396636750963,1.9035027424494426,"[1.0030561685562134, 0.36058759689331055, 0.29902222752571106]"
13,1.8581344551510282,1.9081019560496013,"[0.9925110936164856, 0.3593788743019104, 0.2972714900970459]"
14,1.859173403845893,1.902211308479309,"[1.0103647708892822, 0.36153751611709595, 0.29829758405685425]"
15,1.8605444431304932,1.902458628018697,"[1.0019274950027466, 0.3605588674545288, 0.2967545986175537]"
16,1.8583113484912448,1.90466312567393,"[0.9969043135643005, 0.3601524829864502, 0.2958236038684845]"
17,1.858710421456231,1.903927246729533,"[1.0107862949371338, 0.3614656627178192, 0.2959578037261963]"
18,1.8590511745876737,1.90397842725118,"[0.9705145359039307, 0.3573325574398041, 0.29175975918769836]"
19,1.861490077442593,1.9048058986663818,"[0.9857353568077087, 0.3586600422859192, 0.2920433282852173]"
20,1.8582274119059246,1.9031463464101155,"[1.0166367292404175, 0.3625524640083313, 0.2940378785133362]"
21,1.8596091270446777,1.9048978885014851,"[1.000844955444336, 0.3608124554157257, 0.29211607575416565]"
22,1.8581588400734796,1.9027273257573445,"[0.9792324900627136, 0.3583963215351105, 0.28950315713882446]"
23,1.8569512102339003,1.9013460477193196,"[0.9713680744171143, 0.3573996424674988, 0.28805452585220337]"
24,1.8565612369113498,1.9051014979680378,"[0.9916974306106567, 0.3592945337295532, 0.28883424401283264]"
25,1.8568008740743,1.9023727973302205,"[1.008615493774414, 0.36173582077026367, 0.2902945280075073]"
26,1.8586955202950373,1.9014901320139568,"[1.0213344097137451, 0.36278805136680603, 0.29052168130874634]"
27,1.8581757148106892,1.9036115407943726,"[1.0117638111114502, 0.36164480447769165, 0.28913557529449463]"
28,1.8584057754940457,1.9041773478190105,"[0.988286554813385, 0.3589906394481659, 0.2868155837059021]"
29,1.8581145869361029,1.9015692869822185,"[0.9786579608917236, 0.3581905961036682, 0.2856622338294983]"
30,1.8586247364679973,1.9028762181599934,"[0.9656435251235962, 0.35636797547340393, 0.2844162583351135]"
31,1.8590490023295085,1.900684396425883,"[1.006204605102539, 0.3610340356826782, 0.287589430809021]"
32,1.8577931192186143,1.9028516213099163,"[1.010306477546692, 0.36122292280197144, 0.28754109144210815]"
33,1.8585997422536213,1.90188201268514,"[1.0218737125396729, 0.36271679401397705, 0.2883830666542053]"
34,1.8568252722422283,1.9025650421778362,"[1.0077238082885742, 0.36158430576324463, 0.28742340207099915]"
35,1.8564704656600952,1.9009225368499756,"[1.0120978355407715, 0.36169862747192383, 0.28724947571754456]"
36,1.8560259077284071,1.9032328526178997,"[0.9935951232910156, 0.35922762751579285, 0.28547120094299316]"
37,1.8583055867089167,1.902040163675944,"[0.9896586537361145, 0.3589857220649719, 0.2851182818412781]"
38,1.8569719394048054,1.9019395112991333,"[1.009967565536499, 0.36132150888442993, 0.2866905927658081]"
39,1.8589141766230266,1.903075138727824,"[0.9968057870864868, 0.3598923981189728, 0.2854776382446289]"
40,1.859425942103068,1.902340292930603,"[0.9822449088096619, 0.35812628269195557, 0.28388744592666626]"
41,1.8576871951421101,1.9015729029973347,"[0.9962742328643799, 0.35963156819343567, 0.2849745452404022]"
42,1.8596752882003784,1.904070496559143,"[0.9748112559318542, 0.35737937688827515, 0.28317970037460327]"
43,1.8564598957697551,1.9010759592056274,"[1.016088843345642, 0.36200982332229614, 0.28623294830322266]"
44,1.8572590351104736,1.9017577568689983,"[1.0238460302352905, 0.3630640208721161, 0.28665459156036377]"
45,1.8587490320205688,1.905611515045166,"[0.9948959946632385, 0.35976260900497437, 0.2840488851070404]"
46,1.8589425219429865,1.9011674324671428,"[0.9811041951179504, 0.35799726843833923, 0.28268963098526]"
47,1.8577037122514513,1.9046177864074707,"[1.0096322298049927, 0.3612455427646637, 0.28482598066329956]"
48,1.8569181362787883,1.9027694463729858,"[0.9956533908843994, 0.35954606533050537, 0.28339260816574097]"
49,1.8579105536142986,1.9031739632288616,"[1.0040894746780396, 0.3606763482093811, 0.2838364243507385]"
50,1.857248889075385,1.901432474454244,"[0.9834859371185303, 0.358214795589447, 0.2820046544075012]"
