Epoch,Train_Loss,Val_Loss,Gsmooth_Stds
1,2.408166938357883,2.417849540710449,"[1.0242987871170044, 0.42102694511413574]"
2,2.2434552245669894,2.2712950706481934,"[1.0220248699188232, 0.42059558629989624]"
3,2.1302889717949762,2.1526203552881875,"[1.0075756311416626, 0.4193907380104065]"
4,2.045189725028144,2.080098271369934,"[0.9985915422439575, 0.4183885157108307]"
5,1.988058673010932,2.021889050801595,"[0.9769989848136902, 0.4160919785499573]"
6,1.9363143841425579,1.9684014717737834,"[0.985704779624939, 0.4169578552246094]"
7,1.8920305967330933,1.9279682238896687,"[0.9952694177627563, 0.4173385798931122]"
8,1.8655158148871527,1.903146743774414,"[0.986322283744812, 0.41679903864860535]"
9,1.8610384729173448,1.906293272972107,"[0.9864940643310547, 0.4164647161960602]"
10,1.8600564930174086,1.9040011167526245,"[1.0060795545578003, 0.41878432035446167]"
11,1.8608504666222467,1.906463861465454,"[1.0160439014434814, 0.41990041732788086]"
12,1.8600274589326646,1.9047329425811768,"[1.012695074081421, 0.4192770719528198]"
13,1.859455943107605,1.9029879570007324,"[1.01792573928833, 0.41990116238594055]"
14,1.8586716519461737,1.9046143690745037,"[0.990719199180603, 0.4168013334274292]"
15,1.8589601384268866,1.9052904844284058,"[0.9970252513885498, 0.4174637198448181]"
16,1.8583191765679254,1.9023300011952717,"[1.010559320449829, 0.41896817088127136]"
17,1.859494063589308,1.9050136804580688,"[0.9657756090164185, 0.4140489101409912]"
18,1.8605240715874567,1.9047047297159831,"[0.962746262550354, 0.4135676920413971]"
19,1.859473983446757,1.9030228455861409,"[0.9955822229385376, 0.41729629039764404]"
20,1.8603188196818035,1.9072236220041912,"[0.9676183462142944, 0.41415199637413025]"
21,1.86001541879442,1.9013595581054688,"[1.0031037330627441, 0.4177553653717041]"
22,1.8592663870917425,1.9035478830337524,"[1.0023939609527588, 0.4177393913269043]"
23,1.8595572710037231,1.9049386183420818,"[1.017517328262329, 0.41906923055648804]"
24,1.8605609867307875,1.9019115368525188,"[1.018480896949768, 0.4193841814994812]"
25,1.8611548741658528,1.9064217805862427,"[0.9973954558372498, 0.4169779419898987]"
26,1.858501394589742,1.901606798171997,"[0.9999814033508301, 0.41752463579177856]"
27,1.8611833916770086,1.9072161515553792,"[0.9802279472351074, 0.4153054356575012]"
28,1.8590456114874945,1.9017088810602825,"[1.008213996887207, 0.4181169271469116]"
29,1.8583679464128282,1.9046861330668132,"[0.9984675645828247, 0.4172554016113281]"
30,1.8602292272779677,1.9020800987879436,"[1.0185189247131348, 0.4192989766597748]"
31,1.8586704730987549,1.9025721947352092,"[0.9798446297645569, 0.41503769159317017]"
32,1.8580568763944838,1.9037162860234578,"[0.9923160672187805, 0.41644287109375]"
33,1.8582008017434015,1.9020666281382244,"[0.9969849586486816, 0.41705918312072754]"
34,1.8592656718360052,1.903356393178304,"[0.9970645904541016, 0.4167867600917816]"
35,1.8562963671154447,1.9031534592310588,"[1.0088437795639038, 0.41793501377105713]"
36,1.8586580620871649,1.9013678232828777,"[0.9823834300041199, 0.41520094871520996]"
37,1.857979655265808,1.9047141472498577,"[1.0015480518341064, 0.41710084676742554]"
38,1.8562132914861043,1.9014452695846558,"[1.0003178119659424, 0.4172170162200928]"
39,1.858280963367886,1.903970758120219,"[0.9840929508209229, 0.415169358253479]"
40,1.857385026084052,1.9000269969304402,"[0.9759863615036011, 0.4147281050682068]"
41,1.8581132756339178,1.904008944829305,"[1.0025970935821533, 0.41756153106689453]"
42,1.8574866718716092,1.9036540985107422,"[0.9915236830711365, 0.41621172428131104]"
43,1.8583616150750055,1.9010908206303914,"[1.016265630722046, 0.419045627117157]"
44,1.8565208779440985,1.9018320242563884,"[1.0194590091705322, 0.41935405135154724]"
45,1.8577120966381497,1.9029386043548584,"[0.9924145936965942, 0.4160846769809723]"
46,1.8563567929797702,1.9029754797617595,"[0.9774971604347229, 0.41483062505722046]"
47,1.8593292633692424,1.9014164209365845,"[1.0151689052581787, 0.41887468099594116]"
48,1.8577147324879963,1.9019648631413777,"[1.0003271102905273, 0.4170641303062439]"
49,1.8583772050009832,1.905747652053833,"[0.9921383857727051, 0.416388601064682]"
50,1.8582498497433133,1.8998527924219768,"[0.9894261360168457, 0.4162236452102661]"
