Epoch,Train_Loss,Val_Loss,Gsmooth_Stds
1,2.5003013610839844,2.6224331855773926,"[1.0242987871170044, 0.42102694511413574]"
2,2.4756928284962973,2.591804107030233,"[1.0220248699188232, 0.42059558629989624]"
3,2.448351436191135,2.562103589375814,"[1.0075756311416626, 0.41938117146492004]"
4,2.4220729139116077,2.5331053733825684,"[0.9985915422439575, 0.41836538910865784]"
5,2.3913749323950872,2.5045772393544516,"[0.9769989848136902, 0.41605421900749207]"
6,2.3686273097991943,2.477103074391683,"[0.985704779624939, 0.41690367460250854]"
7,2.3426564004686146,2.4507872263590493,"[0.9952694177627563, 0.41726356744766235]"
8,2.317361937628852,2.424788316090902,"[0.986322283744812, 0.41670888662338257]"
9,2.2930051485697427,2.399568796157837,"[0.9864940643310547, 0.4163619875907898]"
10,2.2738786803351507,2.3752124309539795,"[1.0060795545578003, 0.41867369413375854]"
11,2.253724839952257,2.3514347871144614,"[1.0160439014434814, 0.4197920858860016]"
12,2.23110122150845,2.327763398488363,"[1.012695074081421, 0.4191688895225525]"
13,2.2132889959547253,2.3045915762583413,"[1.01792573928833, 0.4197913408279419]"
14,2.189978837966919,2.281552791595459,"[0.990719199180603, 0.4166986644268036]"
15,2.17063840230306,2.2595438162485757,"[0.9970252513885498, 0.41736093163490295]"
16,2.1509786711798773,2.237717628479004,"[1.010559320449829, 0.4188585877418518]"
17,2.134172307120429,2.2164360682169595,"[0.9657756090164185, 0.4139459729194641]"
18,2.1147809293535023,2.195617357889811,"[0.962746262550354, 0.4134700894355774]"
19,2.09587554136912,2.175328334172567,"[0.9955822229385376, 0.4171742796897888]"
20,2.0804071956210666,2.1562410990397134,"[0.9676183462142944, 0.4140383005142212]"
21,2.065491384930081,2.1380560398101807,"[1.0031037330627441, 0.4176163971424103]"
22,2.0455172459284463,2.1201912562052407,"[1.0023939609527588, 0.417587548494339]"
23,2.032845232221815,2.102870504061381,"[1.017517328262329, 0.4188980460166931]"
24,2.0184283918804593,2.0863715410232544,"[1.018480896949768, 0.41919276118278503]"
25,2.004503011703491,2.071124315261841,"[0.9973954558372498, 0.4167802333831787]"
26,1.9883581929736667,2.0562843084335327,"[0.9999814033508301, 0.41730600595474243]"
27,1.978871716393365,2.0428202152252197,"[0.9802279472351074, 0.4150802493095398]"
28,1.9676580296622381,2.0296499331792197,"[1.008213996887207, 0.4178517460823059]"
29,1.9568897353278265,2.0166998704274497,"[0.9984675645828247, 0.41696709394454956]"
30,1.9463001887003581,2.0048022270202637,"[1.0185189247131348, 0.4189645051956177]"
31,1.9349858231014676,1.9929038286209106,"[0.9798446297645569, 0.41470175981521606]"
32,1.9248551925023396,1.9812816778818767,"[0.9923160672187805, 0.4160724878311157]"
33,1.9147967629962497,1.9710712830225627,"[0.9969849586486816, 0.4166412055492401]"
34,1.9061546325683594,1.9613130887349446,"[0.9970645904541016, 0.4163346290588379]"
35,1.8967530859841242,1.9520622094472249,"[1.0088437795639038, 0.4174305498600006]"
36,1.889844497044881,1.9432028532028198,"[0.9823834300041199, 0.41466981172561646]"
37,1.8828605148527358,1.935506542523702,"[1.0015480518341064, 0.4165330231189728]"
38,1.8757262759738498,1.9285327593485515,"[1.0003178119659424, 0.41658997535705566]"
39,1.8725592692693074,1.9240652720133464,"[0.9840929508209229, 0.41452714800834656]"
40,1.869154281086392,1.9195406436920166,"[0.9759863615036011, 0.4140598177909851]"
41,1.8661714394887288,1.9153647025426228,"[1.0025970935821533, 0.416809618473053]"
42,1.8633376624849107,1.911988377571106,"[0.9915236830711365, 0.41542404890060425]"
43,1.8616789049572415,1.909482518831889,"[1.016265630722046, 0.4181841015815735]"
44,1.858853856722514,1.907714605331421,"[1.0194590091705322, 0.41842639446258545]"
45,1.8588945865631104,1.9066472053527832,"[0.9924145936965942, 0.4151574671268463]"
46,1.8582679563098483,1.905841072400411,"[0.9774971604347229, 0.413878470659256]"
47,1.8592515256669786,1.9052122036616008,"[1.0151689052581787, 0.41780754923820496]"
48,1.858620007832845,1.9044198989868164,"[1.0003271102905273, 0.41595935821533203]"
49,1.8591427405675252,1.9046772321065266,"[0.9921383857727051, 0.41525450348854065]"
50,1.859263949924045,1.904614011446635,"[0.9894261360168457, 0.41503965854644775]"
